Region,Province,City,pop_density,Longitude,Latitude
National Capital Region,Metro Manila,Manila,71263,120.9842195,14.5995124
National Capital Region,Metro Manila,Quezon City,17099,121.0437003,14.6760413
National Capital Region,Metro Manila,Calaoocan,28387,121.0449768,14.7565784
National Capital Region,Metro Manila,Pasay,29815,121.0013794,14.5377516
National Capital Region,Metro Manila,Las Piñas,18014,120.993874,14.444546
National Capital Region,Metro Manila,Makati,27010,121.0244452,14.554729
National Capital Region,Metro Manila,Malabon,23267,120.9658454,14.6680747
National Capital Region,Metro Manila,Mandaluyong,41580,121.0359174,14.5794443
National Capital Region,Metro Manila,Marikina,20945,121.1028546,14.65073
National Capital Region,Metro Manila,Muntinlupa,12692,121.0414667,14.4081327
National Capital Region,Metro Manila,Navotas,27904,120.9398467,14.6714904
National Capital Region,Metro Manila,Parañaque,14297,121.019823,14.479309
National Capital Region,Metro Manila,Pasig,15586,121.0851097,14.5763768
National Capital Region,Metro Manila,San Juan,20534,121.0368893,14.5994146
National Capital Region,Metro Manila,Taguig City,17804,121.0508645,14.5176184
National Capital Region,Metro Manila,Valenzuela,13195,120.9830225,14.7010556
National Capital Region,Metro Manila,Municipality of Pateros,6138,121.070773,14.5483779
Cordillera Administrative Region (CAR),Abra,Bangued,353,121.0222626,14.6585474
Cordillera Administrative Region (CAR),Abra,Boliney,17,120.8728615,17.3674569
Cordillera Administrative Region (CAR),Abra,Bucay,168,120.7234992,17.5301886
Cordillera Administrative Region (CAR),Abra,Bucloc,39,120.8422548,17.4437463
Cordillera Administrative Region (CAR),Abra,Daguioman,18,120.9646866,17.4361335
Cordillera Administrative Region (CAR),Abra,Danglas,27,120.6429991,17.7449596
Cordillera Administrative Region (CAR),Abra,Dolores,238,120.7292472,17.6507819
Cordillera Administrative Region (CAR),Abra,La Paz,300,120.6545022,17.6477334
Cordillera Administrative Region (CAR),Abra,Lacub,14,120.9646866,17.6893614
Cordillera Administrative Region (CAR),Abra,Lagangilang,115,120.792458,17.624061
Cordillera Administrative Region (CAR),Abra,Lagayan,21,120.734995,17.7714339
Cordillera Administrative Region (CAR),Abra,Langiden,28,120.5394232,17.6038662
Cordillera Administrative Region (CAR),Abra,Licuan-Baay,18,120.8728615,17.5785363
Cordillera Administrative Region (CAR),Abra,Luba,43,120.6890055,17.3141801
Cordillera Administrative Region (CAR),Abra,Malibcong,12,121.0105733,17.5969743
Cordillera Administrative Region (CAR),Abra,Manabo,133,120.734995,17.390888
Cordillera Administrative Region (CAR),Abra,Peñarrubia,170,120.654502,17.541954
Cordillera Administrative Region (CAR),Abra,Pidigan,248,120.5624474,17.5364447
Cordillera Administrative Region (CAR),Abra,Pilar,155,120.5854674,17.3844671
Cordillera Administrative Region (CAR),Abra,Sallapadan,51,120.7619678,17.4925404
Cordillera Administrative Region (CAR),Abra,San Isidro,95,120.6142365,17.4800566
Cordillera Administrative Region (CAR),Abra,San Juan,154,120.7315061,17.6809179
Cordillera Administrative Region (CAR),Abra,San Quintin,82,120.5163949,17.5230804
Cordillera Administrative Region (CAR),Abra,Tayum,260,120.6775054,17.6014831
Cordillera Administrative Region (CAR),Abra,Tineg,7,120.9417368,17.8412338
Cordillera Administrative Region (CAR),Abra,Tubo,12,120.8498944,17.265891
Cordillera Administrative Region (CAR),Abra,Villaviciosa,52,120.6545022,17.3939539
Cordillera Administrative Region (CAR),Apayao,Calanasan,10,121.03351,18.2479181
Cordillera Administrative Region (CAR),Apayao,Conner,38,121.2168466,17.7929294
Cordillera Administrative Region (CAR),Apayao,Flora,42,121.422761,18.1145991
Cordillera Administrative Region (CAR),Apayao,Kabugao,17,121.1864294,18.0109412
Cordillera Administrative Region (CAR),Apayao,Luna,31,121.2168466,18.2995338
Cordillera Administrative Region (CAR),Apayao,Pudtol,37,121.2855249,18.1393236
Cordillera Administrative Region (CAR),Apayao,Santa Marcela,69,121.43419,18.291778
Cordillera Administrative Region (CAR),Benguet,Atok,91,120.6890055,16.597449
Cordillera Administrative Region (CAR),Benguet,Bakun,54,120.6890055,16.8079575
Cordillera Administrative Region (CAR),Benguet,Bokod,50,120.7809676,16.4564063
Cordillera Administrative Region (CAR),Benguet,Buguias,248,120.8368171,16.7491571
Cordillera Administrative Region (CAR),Benguet,Itogon,133,120.6890055,16.3451812
Cordillera Administrative Region (CAR),Benguet,Kabayan,63,120.8269231,16.6170249
Cordillera Administrative Region (CAR),Benguet,Kapangan,118,120.5969758,16.6123793
Cordillera Administrative Region (CAR),Benguet,Kibungan,68,120.6890055,16.6816218
Cordillera Administrative Region (CAR),Benguet,La Trinidad,1844,120.5854674,16.4774284
Cordillera Administrative Region (CAR),Benguet,Mankayan,276,120.7809676,16.8770346
Cordillera Administrative Region (CAR),Benguet,Sablan,108,120.5163949,16.4885206
Cordillera Administrative Region (CAR),Benguet,Tuba,161,120.5739579,16.3005173
Cordillera Administrative Region (CAR),Benguet,Tublay,174,120.6314948,16.5120921
Cordillera Administrative Region (CAR),Benguet,Baguio City,6005,120.5960071,16.4023332
Cordillera Administrative Region (CAR),Ifugao,Aguinaldo,36,121.3312882,16.952911
Cordillera Administrative Region (CAR),Ifugao,Alfonso Lista,92,121.4913182,16.988521
Cordillera Administrative Region (CAR),Ifugao,Asipulo,83,121.0398298,16.7536572
Cordillera Administrative Region (CAR),Ifugao,Banaue,114,121.1022942,16.9496263
Cordillera Administrative Region (CAR),Ifugao,Hingyon,149,121.1022942,16.8655953
Cordillera Administrative Region (CAR),Ifugao,Hungduan,36,121.0105733,16.8389028
Cordillera Administrative Region (CAR),Ifugao,Kiangan,85,121.0986722,16.7712337
Cordillera Administrative Region (CAR),Ifugao,Lagawe,93,121.1226046,16.7974285
Cordillera Administrative Region (CAR),Ifugao,Lamut,169,121.193945,16.6824142
Cordillera Administrative Region (CAR),Ifugao,Mayoyao,73,121.2168466,16.9513131
Cordillera Administrative Region (CAR),Ifugao,Tinoc,69,120.9748491,16.7034987
Cordillera Administrative Region (CAR),Kalinga,Balbalan,22,121.1481284,17.5309531
Cordillera Administrative Region (CAR),Kalinga,Lubuagan,37,121.0105733,17.3018126
Cordillera Administrative Region (CAR),Kalinga,Pasil,51,121.1022942,17.4124793
Cordillera Administrative Region (CAR),Kalinga,Pinukpuk,43,121.3084088,17.6082869
Cordillera Administrative Region (CAR),Kalinga,Rizal,60,121.6054893,17.4929726
Cordillera Administrative Region (CAR),Kalinga,Tanudan,31,121.2397438,17.2625583
Cordillera Administrative Region (CAR),Kalinga,Tinglayan,45,121.1022942,17.2440386
Cordillera Administrative Region (CAR),Kalinga,Tabuk,158,121.4384498,17.4117354
Cordillera Administrative Region (CAR),Mountain Province,Barlig,21,121.1435274,17.0399912
Cordillera Administrative Region (CAR),Mountain Province,Bauko,182,120.8728615,16.9880897
Cordillera Administrative Region (CAR),Mountain Province,Besao,41,120.8384093,17.1097133
Cordillera Administrative Region (CAR),Mountain Province,Bontoc,62,120.9759199,17.0905986
Cordillera Administrative Region (CAR),Mountain Province,Natonin,41,121.2855249,17.1286233
Cordillera Administrative Region (CAR),Mountain Province,Paracelis,49,121.4913182,17.1562214
Cordillera Administrative Region (CAR),Mountain Province,Sabangan,129,120.9302603,16.9469291
Cordillera Administrative Region (CAR),Mountain Province,Sadanga,34,121.0564425,17.167666
Cordillera Administrative Region (CAR),Mountain Province,Sagada,101,120.907304,17.0981353
Cordillera Administrative Region (CAR),Mountain Province,Tadian,123,120.8154358,16.9660794
Region I – Ilocos ,Ilocos Norte,Adams,11,120.9187827,18.4590814
Region I – Ilocos ,Ilocos Norte,Bacarra,493,120.6084832,18.2703871
Region I – Ilocos ,Ilocos Norte,Badoc,412,120.4933624,17.9084723
Region I – Ilocos ,Ilocos Norte,Bangui,135,120.7349584,18.5127343
Region I – Ilocos ,Ilocos Norte,Banna,210,120.6429991,17.9567926
Region I – Ilocos ,Ilocos Norte,Burgos,76,120.6429991,18.4659943
Region I – Ilocos ,Ilocos Norte,Carasi,19,120.8728615,18.2130413
Region I – Ilocos ,Ilocos Norte,Currimao,358,120.510106,18.0029484
Region I – Ilocos ,Ilocos Norte,Dingras,402,120.7234992,18.0804954
Region I – Ilocos ,Ilocos Norte,Dumalneg,32,120.8269231,18.4755816
Region I – Ilocos ,Ilocos Norte,Marcos,244,120.7005044,18.0209461
Region I – Ilocos ,Ilocos Norte,Nueva Era,18,120.734995,17.9407858
Region I – Ilocos ,Ilocos Norte,Pagudpud,122,120.8220827,18.5874677
Region I – Ilocos ,Ilocos Norte,Paoay,326,120.5163949,18.0742373
Region I – Ilocos ,Ilocos Norte,Pasuquin,180,120.6429991,18.3385923
Region I – Ilocos ,Ilocos Norte,Piddig,99,120.7809676,18.1869397
Region I – Ilocos ,Ilocos Norte,Pinili,193,120.5394232,17.9429435
Region I – Ilocos ,Ilocos Norte,San Nicolas,914,120.5854674,18.1470823
Region I – Ilocos ,Ilocos Norte,Sarrat,439,120.6545022,18.1137855
Region I – Ilocos ,Ilocos Norte,Solsona,145,120.7809676,18.102185
Region I – Ilocos ,Ilocos Norte,Vintar,52,120.7809676,18.3141291
Region I – Ilocos ,Ilocos Norte,Batac,343,120.5940777,18.0460318
Region I – Ilocos ,Ilocos Norte,Laoag City,957,120.5930803,18.1963773
Region I – Ilocos ,Ilocos Sur,Alilem,56,120.5722244,16.9108142
Region I – Ilocos ,Ilocos Sur,Banayoyo,315,120.4991209,17.2350729
Region I – Ilocos ,Ilocos Sur,Bantay,466,120.447285,17.5983228
Region I – Ilocos ,Ilocos Sur,Burgos,275,120.5163949,17.3114833
Region I – Ilocos ,Ilocos Sur,Cabugao,392,120.4540193,17.791812
Region I – Ilocos ,Ilocos Sur,Caoayan,1140,120.3954282,17.5382154
Region I – Ilocos ,Ilocos Sur,Cervantes,73,120.6890055,16.9765445
Region I – Ilocos ,Ilocos Sur,Galimuyod,312,120.5221524,17.1889596
Region I – Ilocos ,Ilocos Sur,Gregorio del Pilar,117,120.6084832,17.1481741
Region I – Ilocos ,Ilocos Sur,Lidlidda,137,120.5394232,17.2653418
Region I – Ilocos ,Ilocos Sur,Magsingal,362,120.447285,17.6830987
Region I – Ilocos ,Ilocos Sur,Nagbukel,122,120.5394232,17.4345326
Region I – Ilocos ,Ilocos Sur,Narvacan,360,120.4933624,17.463462
Region I – Ilocos ,Ilocos Sur,Quirino,36,120.6890055,17.103087
Region I – Ilocos ,Ilocos Sur,Salcedo,109,120.5624474,17.1347188
Region I – Ilocos ,Ilocos Sur,San Emilio,52,120.5969758,17.2451452
Region I – Ilocos ,Ilocos Sur,San Esteban,426,120.4530456,17.3273706
Region I – Ilocos ,Ilocos Sur,San Ildefonso,686,120.3954282,17.623
Region I – Ilocos ,Ilocos Sur,San Juan,410,120.4703258,17.7427698
Region I – Ilocos ,Ilocos Sur,San Vicente,1013,120.3608455,17.6182471
Region I – Ilocos ,Ilocos Sur,Santa,141,120.447285,17.5135816
